CONTAMINANTE,Fecha,HORA,CHIH-CEN,CHIH-SUR
CO,20/01/2015,17, ,0.6
CO,20/01/2015,18, ,0.5
CO,20/01/2015,19, ,0.8
CO,20/01/2015,20, ,1.7
CO,20/01/2015,21, ,1.4
CO,20/01/2015,22, ,1.5
CO,20/01/2015,23, ,1
CO,20/01/2015,24, ,0.6
CO,21/01/2015,1, ,0.6
CO,21/01/2015,2, ,0.5
CO,21/01/2015,3, ,0.4
CO,21/01/2015,4, ,0.3
CO,21/01/2015,5, ,0.3
CO,21/01/2015,6, ,0.4
CO,21/01/2015,7, ,0.5
CO,21/01/2015,8, ,0.7
CO,21/01/2015,9, ,1.4
CO,21/01/2015,10, ,2.1
CO,21/01/2015,11, ,1.3
CO,21/01/2015,12, ,0.4
CO,21/01/2015,15, ,0.4
CO,21/01/2015,16, ,0.2
CO,21/01/2015,17, ,0.3
CO,21/01/2015,18, ,0.3
CO,21/01/2015,19, ,0.7
CO,21/01/2015,20, ,0.9
CO,21/01/2015,21, ,0.9
CO,21/01/2015,22, ,1
CO,21/01/2015,23, ,0.5
CO,21/01/2015,24, ,0.5
CO,22/01/2015,1, ,0.4
CO,22/01/2015,2, ,0.2
CO,22/01/2015,3, ,0.2
CO,22/01/2015,4, ,0.2
CO,22/01/2015,5, ,0.2
CO,22/01/2015,6, ,0.2
CO,22/01/2015,7, ,0.2
CO,22/01/2015,8, ,0.4
CO,22/01/2015,9, ,0.6
CO,22/01/2015,10, ,1.3
CO,22/01/2015,11, ,0.6
CO,22/01/2015,12, ,0.6
CO,22/01/2015,13, ,0.6
CO,22/01/2015,14, ,0.5
CO,22/01/2015,15, ,0.5
CO,22/01/2015,16, ,0.4
CO,22/01/2015,17, ,0.5
CO,22/01/2015,18, ,0.5
CO,22/01/2015,19, ,0.5
CO,22/01/2015,20, ,0.5
CO,22/01/2015,21, ,0.4
CO,22/01/2015,22, ,0.4
CO,22/01/2015,23, ,0.3
CO,22/01/2015,24, ,0.3
CO,23/01/2015,1, ,0.3
CO,23/01/2015,2, ,0.2
CO,23/01/2015,3, ,0.2
CO,23/01/2015,4, ,0.2
CO,23/01/2015,5, ,0.2
CO,23/01/2015,6, ,0.2
CO,23/01/2015,7, ,0.3
CO,23/01/2015,8, ,0.4
CO,23/01/2015,9, ,0.7
CO,23/01/2015,10, ,0.7
CO,23/01/2015,11, ,0.6
CO,23/01/2015,12, ,0.5
CO,23/01/2015,13, ,0.4
CO,23/01/2015,14, ,0.4
CO,23/01/2015,15, ,0.5
CO,23/01/2015,16, ,0.4
CO,23/01/2015,17, ,0.5
CO,23/01/2015,18, ,0.6
CO,23/01/2015,19, ,0.7
CO,23/01/2015,20, ,1
CO,23/01/2015,21, ,1
CO,23/01/2015,22, ,0.9
CO,23/01/2015,23, ,0.6
CO,23/01/2015,24, ,0.6
CO,24/01/2015,1, ,0.4
CO,24/01/2015,2, ,0.6
CO,24/01/2015,3, ,0.6
CO,24/01/2015,4, ,0.6
CO,24/01/2015,5, ,0.6
CO,24/01/2015,6, ,0.8
CO,24/01/2015,7, ,0.6
CO,24/01/2015,8, ,0.7
CO,24/01/2015,9, ,1
CO,24/01/2015,10, ,1
CO,24/01/2015,11, ,0.8
CO,24/01/2015,12, ,0.9
CO,24/01/2015,13, ,0.7
CO,24/01/2015,14, ,0.3
CO,24/01/2015,15, ,0.3
CO,24/01/2015,16, ,0.3
CO,24/01/2015,17, ,0.4
CO,24/01/2015,18, ,0.4
CO,24/01/2015,19, ,0.5
CO,24/01/2015,20, ,0.6
CO,24/01/2015,21, ,0.9
CO,24/01/2015,22, ,1
CO,24/01/2015,23, ,0.9
CO,24/01/2015,24, ,0.6
CO,25/01/2015,1, ,0.3
CO,25/01/2015,2, ,0.3
CO,25/01/2015,3, ,0.5
CO,25/01/2015,4, ,0.5
CO,25/01/2015,5, ,0.5
CO,25/01/2015,6, ,0.6
CO,25/01/2015,7, ,0.4
CO,25/01/2015,8, ,0.7
CO,25/01/2015,9, ,0.6
CO,25/01/2015,10, ,0.8
CO,25/01/2015,11, ,1
CO,25/01/2015,12, ,0.8
CO,25/01/2015,13, ,0.7
CO,25/01/2015,14, ,0.5
CO,25/01/2015,15, ,0.5
CO,25/01/2015,16, ,0.5
CO,25/01/2015,17, ,0.5
CO,25/01/2015,18, ,0.5
CO,25/01/2015,19, ,0.7
CO,25/01/2015,20, ,0.8
CO,25/01/2015,21, ,1.6
CO,25/01/2015,22, ,2.3
CO,25/01/2015,23, ,1.5
CO,25/01/2015,24, ,1.9
CO,26/01/2015,1, ,0.9
CO,26/01/2015,2, ,0.7
CO,26/01/2015,3, ,0.6
CO,26/01/2015,4, ,0.6
CO,26/01/2015,5, ,0.4
CO,26/01/2015,6, ,0.3
CO,26/01/2015,7, ,0.6
CO,26/01/2015,8, ,0.6
CO,26/01/2015,9, ,1.3
CO,26/01/2015,10, ,1.9
CO,26/01/2015,11, ,1
CO,26/01/2015,12, ,1.3
CO,26/01/2015,13, ,0.9
CO,26/01/2015,14, ,0.7
CO,26/01/2015,15, ,0.4
CO,26/01/2015,16, ,0.6
CO,26/01/2015,17, ,0.8
CO,26/01/2015,18, ,0.6
CO,26/01/2015,19, ,0.8
CO,26/01/2015,20, ,1
CO,26/01/2015,21, ,0.8
CO,26/01/2015,22, ,0.7
CO,26/01/2015,23, ,0.7
CO,26/01/2015,24, ,0.8
CO,27/01/2015,1, ,0.8
CO,27/01/2015,2, ,0.7
CO,27/01/2015,3, ,0.6
CO,27/01/2015,4, ,0.5
CO,27/01/2015,5, ,0.6
CO,27/01/2015,6, ,0.8
CO,27/01/2015,7, ,0.7
CO,27/01/2015,8, ,1
CO,27/01/2015,9, ,2.2
CO,27/01/2015,10, ,1.6
CO,27/01/2015,11, ,0.9
CO,27/01/2015,12, ,0.7
CO,27/01/2015,13, ,0.5
CO,27/01/2015,14, ,0.5
CO,27/01/2015,15, ,0.5
CO,27/01/2015,16, ,0.5
CO,27/01/2015,17, ,0.5
CO,27/01/2015,18, ,0.5
CO,27/01/2015,19, ,1
CO,27/01/2015,20, ,1.2
CO,27/01/2015,21, ,1.3
CO,27/01/2015,22, ,1.7
CO,27/01/2015,23, ,1.1
CO,27/01/2015,24, ,1.3
CO,28/01/2015,1, ,0.6
CO,28/01/2015,2, ,0.5
CO,28/01/2015,3, ,0.5
CO,28/01/2015,4, ,0.5
CO,28/01/2015,5, ,0.4
CO,28/01/2015,6, ,0.4
CO,28/01/2015,7, ,0.5
CO,28/01/2015,8, ,0.7
CO,28/01/2015,9, ,1.4
CO,28/01/2015,10, ,1.9
CO,28/01/2015,11, ,1.4
CO,28/01/2015,12, ,0.9
CO,28/01/2015,13, ,0.8
CO,28/01/2015,14, ,0.6
CO,28/01/2015,15, ,0.4
CO,28/01/2015,16, ,0.5
CO,28/01/2015,17, ,0.3
CO,28/01/2015,18, ,0.3
CO,28/01/2015,19, ,0.8
CO,28/01/2015,20, ,1.3
CO,28/01/2015,21, ,1.5
CO,28/01/2015,22, ,0.5
CO,28/01/2015,23, ,1.6
CO,28/01/2015,24, ,0.6
CO,29/01/2015,1, ,0.6
CO,29/01/2015,2, ,0.5
CO,29/01/2015,3, ,0.5
CO,29/01/2015,4, ,0.5
CO,29/01/2015,5, ,0.5
CO,29/01/2015,6, ,0.4
CO,29/01/2015,7, ,0.4
CO,29/01/2015,8, ,0.5
CO,29/01/2015,9, ,1.2
CO,29/01/2015,10, ,1.9
CO,29/01/2015,11, ,1.5
CO,29/01/2015,12, ,1.7
CO,29/01/2015,13, ,0.9
CO,29/01/2015,14, ,0.6
CO,29/01/2015,15, ,0.6
CO,29/01/2015,16, ,0.6
CO,29/01/2015,17, ,0.7
CO,29/01/2015,18, ,0.7
CO,29/01/2015,19, ,0.8
CO,29/01/2015,20, ,0.7
CO,29/01/2015,21, ,0.7
CO,29/01/2015,22, ,0.6
CO,29/01/2015,23, ,0.5
CO,29/01/2015,24, ,0.4
CO,30/01/2015,1, ,0.3
CO,30/01/2015,2, ,0.3
CO,30/01/2015,3, ,0.3
CO,30/01/2015,4, ,0.3
CO,30/01/2015,5, ,0.2
CO,30/01/2015,6, ,0.2
CO,30/01/2015,7, ,0.4
CO,30/01/2015,8, ,0.6
CO,30/01/2015,9, ,1
CO,30/01/2015,10, ,0.9
CO,30/01/2015,11, ,0.8
CO,30/01/2015,12, ,0.4
CO,30/01/2015,13, ,0.5
CO,30/01/2015,14, ,0.5
CO,30/01/2015,15, ,0.4
CO,30/01/2015,16, ,0.4
CO,30/01/2015,17, ,0.5
CO,30/01/2015,18, ,0.5
CO,30/01/2015,19, ,0.6
CO,30/01/2015,20, ,0.5
CO,30/01/2015,21, ,0.7
CO,30/01/2015,22, ,0.6
CO,30/01/2015,23, ,0.5
CO,30/01/2015,24, ,0.7
CO,31/01/2015,1, ,0.5
CO,31/01/2015,2, ,0.7
CO,31/01/2015,3, ,0.4
CO,31/01/2015,4, ,0.4
CO,31/01/2015,5, ,0.3
CO,31/01/2015,6, ,0.3
CO,31/01/2015,7, ,0.3
CO,31/01/2015,8, ,0.5
CO,31/01/2015,9, ,0.5
CO,31/01/2015,10, ,0.4
CO,31/01/2015,11, ,0.4
CO,31/01/2015,12, ,0.3
CO,31/01/2015,13, ,0.3
CO,31/01/2015,14, ,0.3
CO,31/01/2015,15, ,0.3
CO,31/01/2015,16, ,0.3
CO,31/01/2015,17, ,0.4
CO,31/01/2015,18, ,0.4
CO,31/01/2015,19, ,0.4
CO,31/01/2015,20, ,0.4
CO,31/01/2015,21, ,0.4
CO,31/01/2015,22, ,0.4
CO,31/01/2015,23, ,0.4
CO,31/01/2015,24, ,0.4
CO,01/02/2015,1, ,0.3
CO,01/02/2015,2, ,0.3
CO,01/02/2015,3, ,0.3
CO,01/02/2015,4, ,0.3
CO,01/02/2015,5, ,0.3
CO,01/02/2015,6, ,0.3
CO,01/02/2015,7, ,0.3
CO,01/02/2015,8, ,0.4
CO,01/02/2015,9, ,0.8
CO,01/02/2015,10, ,0.7
CO,01/02/2015,11, ,0.5
CO,01/02/2015,12, ,0.5
CO,01/02/2015,13, ,0.5
CO,01/02/2015,14, ,0.4
CO,01/02/2015,15, ,0.5
CO,01/02/2015,16, ,0.5
CO,01/02/2015,17, ,0.5
CO,01/02/2015,18, ,0.5
CO,01/02/2015,19, ,0.6
CO,01/02/2015,20, ,1.4
CO,01/02/2015,21, ,1.3
CO,01/02/2015,22, ,1.6
CO,01/02/2015,23, ,1.3
CO,01/02/2015,24, ,1.3
CO,02/02/2015,1, ,0.6
CO,02/02/2015,2, ,0.5
CO,02/02/2015,3, ,0.4
CO,02/02/2015,4, ,0.4
CO,02/02/2015,5, ,0.4
CO,02/02/2015,6, ,0.3
CO,02/02/2015,7, ,0.4
CO,02/02/2015,8, ,0.6
CO,02/02/2015,9, ,0.5
CO,02/02/2015,10, ,0.6
CO,02/02/2015,11, ,0.6
CO,02/02/2015,12, ,0.5
CO,02/02/2015,13, ,0.5
CO,02/02/2015,14, ,0.4
CO,02/02/2015,15, ,0.4
CO,02/02/2015,16, ,0.5
CO,02/02/2015,17, ,0.4
CO,02/02/2015,18, ,0.4
CO,02/02/2015,19, ,0.4
CO,02/02/2015,20, ,0.4
CO,02/02/2015,21, ,0.5
CO,02/02/2015,22, ,0.4
CO,02/02/2015,23, ,0.5
CO,02/02/2015,24, ,0.4
CO,03/02/2015,1, ,0.4
CO,03/02/2015,2, ,0.5
CO,03/02/2015,3, ,0.4
CO,03/02/2015,4, ,0.5
CO,03/02/2015,5, ,0.4
CO,03/02/2015,6, ,0.4
CO,03/02/2015,7, ,0.6
CO,03/02/2015,8, ,0.8
CO,03/02/2015,9, ,1.4
CO,03/02/2015,10, ,1.2
CO,03/02/2015,11, ,1.1
CO,03/02/2015,12, ,0.8
CO,03/02/2015,13, ,0.5
CO,03/02/2015,14, ,0.5
CO,03/02/2015,15, ,0.5
CO,03/02/2015,16, ,0.6
CO,03/02/2015,17, ,0.6
CO,03/02/2015,18, ,0.6
CO,03/02/2015,19, ,0.8
CO,03/02/2015,20, ,0.9
CO,03/02/2015,21, ,0.6
CO,03/02/2015,22, ,0.5
CO,03/02/2015,23, ,0.4
CO,03/02/2015,24, ,0.9
CO,04/02/2015,1, ,0.7
CO,04/02/2015,2, ,0.8
CO,04/02/2015,3, ,0.6
CO,04/02/2015,4, ,0.4
CO,04/02/2015,5, ,0.4
CO,04/02/2015,6, ,0.4
CO,04/02/2015,7, ,0.5
CO,04/02/2015,8, ,0.6
CO,04/02/2015,9, ,1.2
CO,04/02/2015,10, ,2
CO,04/02/2015,12, ,0.9
CO,04/02/2015,13, ,0.5
CO,04/02/2015,14, ,0.6
CO,04/02/2015,15, ,0.6
CO,04/02/2015,16, ,0.4
CO,04/02/2015,17, ,0.6
CO,04/02/2015,18, ,0.6
CO,04/02/2015,19, ,0.8
CO,04/02/2015,20, ,1.9
CO,04/02/2015,21, ,1.9
CO,04/02/2015,22, ,1.8
CO,04/02/2015,23, ,1.2
CO,04/02/2015,24, ,0.8
CO,05/02/2015,1, ,0.7
CO,05/02/2015,2, ,0.5
CO,05/02/2015,3, ,0.5
CO,05/02/2015,4, ,0.4
CO,05/02/2015,5, ,0.5
CO,05/02/2015,6, ,0.4
CO,05/02/2015,7, ,0.5
CO,05/02/2015,8, ,0.6
CO,05/02/2015,9, ,1.4
CO,05/02/2015,10, ,1.9
CO,05/02/2015,11, ,1.6
CO,05/02/2015,12, ,0.9
CO,05/02/2015,13, ,0.5
CO,05/02/2015,14, ,0.5
CO,05/02/2015,15, ,0.5
CO,05/02/2015,16, ,0.6
CO,05/02/2015,17, ,0.6
CO,05/02/2015,18, ,0.6
CO,05/02/2015,19, ,0.8
CO,05/02/2015,20, ,1.2
CO,05/02/2015,21, ,0.9
CO,05/02/2015,22, ,1.5
CO,05/02/2015,23, ,0.9
CO,05/02/2015,24, ,0.7
CO,06/02/2015,1, ,0.5
CO,06/02/2015,2, ,0.6
CO,06/02/2015,3, ,0.4
CO,06/02/2015,4, ,0.5
CO,06/02/2015,5, ,0.5
CO,06/02/2015,6, ,0.3
CO,06/02/2015,7, ,0.4
CO,06/02/2015,8, ,0.7
CO,06/02/2015,9, ,1.2
CO,06/02/2015,10, ,2.1
CO,06/02/2015,11, ,1.6
CO,06/02/2015,12, ,0.8
CO,10/02/2015,13, ,1.8
CO,10/02/2015,14, ,1.4
CO,10/02/2015,15, ,1.2
CO,10/02/2015,16, ,1.2
CO,10/02/2015,17, ,1.2
CO,10/02/2015,18, ,1
CO,10/02/2015,19, ,1
CO,10/02/2015,20, ,1.7
CO,10/02/2015,21, ,1.3
CO,10/02/2015,22, ,1.1
CO,10/02/2015,23, ,1.1
CO,10/02/2015,24, ,0.8
CO,11/02/2015,1, ,1
CO,11/02/2015,2, ,0.9
CO,11/02/2015,3, ,0.7
CO,11/02/2015,4, ,0.8
CO,11/02/2015,5, ,0.7
CO,11/02/2015,6, ,0.7
CO,11/02/2015,7, ,0.6
CO,11/02/2015,8, ,0.6
CO,11/02/2015,9, ,1.3
CO,11/02/2015,10, ,2.1
CO,11/02/2015,11, ,1.1
CO,11/02/2015,12, ,0.7
CO,11/02/2015,13, ,0.6
CO,11/02/2015,14, ,0.7
CO,11/02/2015,15, ,0.7
CO,11/02/2015,16, ,0.7
CO,11/02/2015,17, ,0.7
CO,11/02/2015,18, ,0.7
CO,11/02/2015,19, ,0.8
CO,11/02/2015,20, ,1.3
CO,11/02/2015,21, ,1.1
CO,11/02/2015,22, ,0.6
CO,11/02/2015,23, ,0.6
CO,11/02/2015,24, ,0.6
CO,12/02/2015,1, ,0.5
CO,12/02/2015,2, ,0.4
CO,12/02/2015,3, ,0.4
CO,12/02/2015,4, ,0.4
CO,12/02/2015,5, ,0.4
CO,12/02/2015,6, ,0.5
CO,12/02/2015,7, ,0.5
CO,12/02/2015,8, ,0.7
CO,12/02/2015,9, ,1.1
CO,12/02/2015,10, ,1.1
CO,12/02/2015,11, ,0.8
CO,12/02/2015,12, ,0.8
CO,12/02/2015,13, ,0.7
CO,12/02/2015,14, ,0.9
CO,12/02/2015,15, ,0.9
CO,12/02/2015,16, ,1
CO,12/02/2015,17, ,1
CO,12/02/2015,18, ,0.9
CO,12/02/2015,19, ,1
CO,12/02/2015,20, ,1.1
CO,12/02/2015,21, ,0.9
CO,12/02/2015,22, ,0.8
CO,12/02/2015,23, ,0.7
CO,12/02/2015,24, ,0.6
CO,13/02/2015,1, ,0.6
CO,13/02/2015,2, ,0.4
CO,13/02/2015,3, ,0.4
CO,13/02/2015,4, ,0.4
CO,13/02/2015,5, ,0.4
CO,13/02/2015,6, ,0.4
CO,13/02/2015,7, ,0.6
CO,13/02/2015,8, ,0.8
CO,13/02/2015,9, ,1.2
CO,13/02/2015,10, ,1.1
CO,13/02/2015,11, ,1
CO,13/02/2015,12, ,0.8
CO,13/02/2015,13, ,0.8
CO,13/02/2015,14, ,0.9
CO,13/02/2015,15, ,0.8
CO,13/02/2015,16, ,0.7
CO,13/02/2015,17, ,0.7
CO,13/02/2015,18, ,0.5
CO,13/02/2015,19, ,0.6
CO,13/02/2015,20, ,1.1
CO,13/02/2015,21, ,1.5
CO,13/02/2015,22, ,2.5
CO,13/02/2015,23, ,2.3
CO,13/02/2015,24, ,1.2
CO,14/02/2015,1, ,1.4
CO,14/02/2015,2, ,1.7
CO,14/02/2015,3, ,1.4
CO,14/02/2015,4, ,1.1
CO,14/02/2015,5, ,1.3
CO,14/02/2015,6, ,1.8
CO,14/02/2015,7, ,1.3
CO,14/02/2015,8, ,1.1
CO,14/02/2015,9, ,1.4
CO,14/02/2015,10, ,2.4
CO,14/02/2015,11, ,1.9
CO,14/02/2015,12, ,1.3
CO,14/02/2015,13, ,1
CO,14/02/2015,14, ,1
CO,14/02/2015,15, ,1
CO,14/02/2015,16, ,1.1
CO,14/02/2015,17, ,1.3
CO,14/02/2015,18, ,1.2
CO,14/02/2015,19, ,1.4
CO,14/02/2015,20, ,1.6
CO,14/02/2015,21, ,2
CO,14/02/2015,22, ,2.2
CO,14/02/2015,23, ,2
CO,14/02/2015,24, ,1.9
CO,15/02/2015,1, ,1.5
CO,15/02/2015,2, ,1.1
CO,15/02/2015,3, ,0.5
CO,15/02/2015,4, ,0.6
CO,15/02/2015,5, ,0.5
CO,15/02/2015,6, ,0.5
CO,15/02/2015,7, ,0.5
CO,15/02/2015,8, ,0.6
CO,15/02/2015,9, ,1
CO,15/02/2015,10, ,1
CO,15/02/2015,11, ,0.8
CO,15/02/2015,12, ,0.8
CO,15/02/2015,13, ,0.6
CO,15/02/2015,14, ,0.6
CO,15/02/2015,15, ,0.4
CO,15/02/2015,16, ,0.4
CO,15/02/2015,17, ,0.4
CO,15/02/2015,18, ,0.6
CO,15/02/2015,19, ,0.8
CO,15/02/2015,20, ,0.9
CO,15/02/2015,21, ,0.9
CO,15/02/2015,22, ,1.1
CO,15/02/2015,23, ,0.9
CO,15/02/2015,24, ,1
CO,16/02/2015,1, ,0.6
CO,16/02/2015,2, ,0.6
CO,16/02/2015,3, ,0.8
CO,16/02/2015,4, ,0.6
CO,16/02/2015,5, ,0.4
CO,16/02/2015,6, ,0.5
CO,16/02/2015,7, ,0.8
CO,16/02/2015,8, ,0.5
CO,16/02/2015,9, ,1.1
CO,16/02/2015,10, ,0.8
CO,16/02/2015,11, ,0.8
CO,16/02/2015,12, ,0.7
CO,16/02/2015,13, ,0.5
CO,16/02/2015,14, ,0.4
CO,16/02/2015,15, ,0.6
CO,16/02/2015,16, ,0.4
CO,16/02/2015,17, ,0.4
CO,16/02/2015,18, ,0.6
CO,16/02/2015,19, ,0.5
CO,16/02/2015,20, ,0.6
CO,16/02/2015,21, ,0.7
CO,16/02/2015,22, ,0.7
CO,16/02/2015,23, ,0.6
CO,16/02/2015,24, ,0.5
CO,17/02/2015,1, ,0.5
CO,17/02/2015,2, ,0.4
CO,17/02/2015,3, ,0.4
CO,17/02/2015,4, ,0.4
CO,17/02/2015,5, ,0.4
CO,17/02/2015,6, ,0.4
CO,17/02/2015,7, ,0.4
CO,17/02/2015,8, ,0.8
CO,17/02/2015,9, ,1.2
CO,17/02/2015,10, ,1.1
CO,17/02/2015,11, ,0.6
CO,17/02/2015,12, ,0.5
CO,17/02/2015,13, ,0.5
CO,17/02/2015,14, ,0.5
CO,17/02/2015,15, ,0.5
CO,17/02/2015,16, ,0.6
CO,17/02/2015,17, ,0.6
CO,17/02/2015,18, ,0.6
CO,17/02/2015,19, ,0.6
CO,17/02/2015,20, ,0.9
CO,17/02/2015,21, ,1
CO,17/02/2015,22, ,0.9
CO,17/02/2015,23, ,0.9
CO,17/02/2015,24, ,0.7
CO,18/02/2015,1, ,0.6
CO,18/02/2015,2, ,0.6
CO,18/02/2015,3, ,0.5
CO,18/02/2015,4, ,0.4
CO,18/02/2015,5, ,0.3
CO,18/02/2015,6, ,0.3
CO,18/02/2015,7, ,0.5
CO,18/02/2015,8, ,0.5
CO,18/02/2015,9, ,1.2
CO,18/02/2015,10, ,2.1
CO,18/02/2015,11, ,1.2
CO,18/02/2015,12, ,0.5
